几乎|jīhū|adverb|almost|3|8
变化|biànhuà|verb|to change|3|8
健康|jiànkāng|adjective|healthy|3|8
重要|zhòngyào|adjective|important|3|8
中文|Zhōngwén|noun|Chinese Language|3|9
班|bān|noun|class|3|9
一样|yīyàng|adjective|same, as...as...|3|9
大山|Dàshān|proper noun||3|9
丽静|Lì Jìng|proper nount||3|9
最后|zuìhòu|noun|the last one|3|9
放心|fàng xīn|verb|to ease one's mind,to rest assured|3|9
一定|yídìng|adverb|definitely,certainly|3|9
担心|dān xīn|verb|to worry|3|9
比较|bǐjiào|adverb|fairly, rather|3|9
了解|liǎojiě|verb|to know|3|9
先|xiān|adverb|first, in advance|3|9
中间|zhōngjiān|noun|middle|3|9
参加|cānjiā|verb|to participate|3|9
影响|yǐngxiǎng|noun|influence|3|9
个子|gèzi|noun|height, stature|3|10
矮|ǎi|adjective|short|3|10
历史|lìshǐ|noun|History|3|10
体育|tǐyù|noun|P.E., sports|3|10
数学|shùxué|noun|Maths|3|10
方便|fāngbiàn|adjective|convenient|3|10
自行车|zìxíngchē|noun|bicycle|3|10
骑|qí|verb|to ride|3|10
旧|jiù|adjective|old, used, worn|3|10
换|huàn|verb|to change, to substitute|3|10
地方|dìfang|noun|place|3|10
中介|zhōngjiè|noun|intermediary, agent|3|10
主要|zhǔyào|adjective|main|3|10
环境|huánjìng|noun|environment|3|10
附近|fùjìn|noun|nearby, vicinity|3|10
图书馆|túshūguǎn|noun|library|3|11
借|jiè|verb|to borrow, to lend|3|11
词典|cídiǎn|noun|dictionary|3|11
还|huán|verb|to return|3|11
灯|dēng|noun|light, lamp|3|11
会议|huìyì|noun|meeting, conference|3|11
结束|jiéshù|verb|to end, to finish|3|11
忘记|wàngjì|verb|to forget|3|11
空调|kòngtiáo|noun|air conditioner|3|11
关|guān|verb|to turn off, to close|3|11
地铁|dìtiě|noun|subway|3|11
双|shuāng|measure word|pair|3|11
筷子|kuàizi|noun|chopsticks|3|11
啤酒|píjiǔ|noun|beer|3|11
口|kǒu|measure word|mouthful|3|11
瓶子|píngzi|noun|bottle|3|11
笔记本(电脑)|bǐjìběn (diànnǎo)|noun|notebook, laptop|3|11
电子邮件|diànzǐ yóujiàn||e-mail|3|11
习惯|xíguàn|verb/noun|be used to, habit; to|3|11
太阳|tàiyáng|noun|sun|3|12
西|xī|noun|west|3|12
生气|shēngqì|verb|angry|3|12
